Sex,Age,Fare,HasCabin,Pclass_1,Pclass_2,Pclass_3,Embarked_C,Embarked_Q,Embarked_S,FamilySize_1,FamilySize_2,FamilySize_3,FamilySize_4,FamilySize_5plus
0,0.3,0.1102724576307577,0,0,0,1,0,0,1,1,0,0,0,0
0,0.3,0.0,0,0,1,0,0,0,1,1,0,0,0,0
0,0.3,0.4328841690069588,1,1,0,0,0,0,1,1,0,0,0,0
1,0.18,0.0001824998458022,0,0,0,1,0,0,1,0,1,0,0,0
1,0.31,0.0005123658772523,0,0,1,0,0,0,1,0,0,1,0,0
0,0.21,0.0164607053433612,0,0,0,1,0,0,1,1,0,0,0,0
0,0.26,0.1102724576307577,0,0,0,1,0,0,1,1,0,0,0,0
0,0.3,0.044409922370226,1,1,0,0,1,0,0,1,0,0,0,0
0,0.3,0.0001512699256649,0,0,0,1,0,1,0,1,0,0,0,0
1,0.31,3.513366015444757e-05,0,0,0,1,0,0,1,0,1,0,0,0
0,0.56,6.929138530460492e-05,1,1,0,0,1,0,0,1,0,0,0,0
1,0.21,0.0019177122834302,0,0,0,1,0,0,1,0,1,0,0,0
0,0.3,0.0013575255909676,0,0,0,1,0,0,1,0,0,0,0,1
0,0.56,0.0005182214872781,0,1,0,0,0,0,1,1,0,0,0,0
0,0.21,1.522458606692728e-05,0,0,0,1,0,0,1,1,0,0,0,0
1,0.33,0.0001756683007722,1,1,0,0,0,1,0,0,1,0,0,0
0,0.21,0.0150943963373549,0,0,0,1,0,1,0,1,0,0,0,0
0,0.3,0.000141510575622,0,0,0,1,0,0,1,1,0,0,0,0
0,0.43,0.0001258956155534,0,0,0,1,0,0,1,1,0,0,0,0
1,0.21,0.049707687947515,0,0,0,1,0,0,1,0,0,0,0,1
0,0.3,3.142510713814477e-05,0,0,0,1,0,0,1,0,1,0,0,0
1,0.32,0.1489114811336148,1,1,0,0,1,0,0,1,0,0,0,0
1,0.35,0.0001545881046795,0,1,0,0,1,0,0,1,0,0,0,0
0,0.19,2.0494635090094416e-05,0,0,1,0,0,0,1,1,0,0,0,0
0,0.24,0.0154115752137492,0,0,0,1,0,0,1,1,0,0,0,0
1,0.45,2.635024511583568e-05,0,0,1,0,0,0,1,1,0,0,0,0
0,0.23,0.0154115752137492,0,0,0,1,0,0,1,1,0,0,0,0
0,0.42,0.0164039059261115,0,0,0,1,0,0,1,0,1,0,0,0
1,0.39,0.1623141917345331,1,1,0,0,1,0,0,0,0,1,0,0
0,0.16,0.0001571255356907,0,0,0,1,0,0,1,1,0,0,0,0
0,0.3,0.0154115752137492,0,0,0,1,0,0,1,1,0,0,0,0
0,0.66,2.0494635090094416e-05,0,0,1,0,0,0,1,1,0,0,0,0
0,0.28,0.0005182214872781,1,1,0,0,0,0,1,1,0,0,0,0
0,0.51,0.0024447171857469,0,0,1,0,0,0,1,1,0,0,0,0
0,0.47,2.9278050128706307e-05,0,0,1,0,0,0,1,1,0,0,0,0
0,0.18,0.0001571255356907,0,0,0,1,0,0,1,1,0,0,0,0
0,0.36,2.5374310111545467e-05,0,0,1,0,0,0,1,1,0,0,0,0
1,0.3,2.5374310111545467e-05,0,0,1,0,0,0,1,1,0,0,0,0
1,0.22,5.66042302488322e-05,0,0,1,0,0,0,1,0,0,1,0,0
1,0.21,0.0001512699256649,0,0,0,1,0,1,0,1,0,0,0,0
0,0.25,2.5374310111545467e-05,0,0,1,0,0,0,1,1,0,0,0,0
0,0.3,0.0141104586660295,0,0,0,1,1,0,0,1,0,0,0,0
1,0.32,2.5374310111545467e-05,0,0,1,0,0,0,1,1,0,0,0,0
0,0.3,0.0015175789316712,0,0,0,1,0,0,1,1,0,0,0,0
1,0.19,0.0153303774213923,0,0,0,1,0,0,1,0,1,0,0,0
0,0.52,5.953203526170283e-05,1,1,0,0,0,0,1,1,0,0,0,0
0,0.71,0.0676404936513476,1,1,0,0,1,0,0,1,0,0,0,0
0,0.32,0.0015468569817999,0,0,0,1,0,0,1,1,0,0,0,0
0,0.19,0.0001493180556564,1,0,0,1,0,0,1,1,0,0,0,0
0,0.3,3.025398513299652e-05,0,0,0,1,0,1,0,0,1,0,0,0
1,0.22,0.0192015212094098,0,0,0,1,0,0,1,1,0,0,0,0
0,0.5,0.0001091095334796,1,1,0,0,0,0,1,0,1,0,0,0
0,0.04,5.445717323939373e-05,0,0,0,1,0,0,1,0,0,0,0,1
1,0.36,0.0002342244010296,1,1,0,0,0,0,1,0,0,0,1,0
0,0.19,0.0001036442974556,1,1,0,0,0,0,1,0,1,0,0,0
1,0.3,6.050797026599304e-05,0,1,0,0,1,0,0,1,0,0,0,0
0,0.3,0.1102724576307577,0,0,0,1,0,0,1,1,0,0,0,0
0,0.3,0.000141510575622,0,0,0,1,0,0,1,1,0,0,0,0
0,0.21,0.0001571255356907,0,0,0,1,0,0,1,1,0,0,0,0
0,0.3,4.6844880205930096e-05,0,0,1,0,1,0,0,0,1,0,0,0
1,0.18,4.489301019734967e-05,0,0,1,0,0,0,1,0,1,0,0,0
0,0.19,0.0,0,0,0,1,0,0,1,1,0,0,0,0
1,0.38,0.044409922370226,1,1,0,0,1,0,0,1,0,0,0,0
0,0.1,5.445717323939373e-05,0,0,0,1,0,0,1,0,0,0,0,1
0,0.3,0.0,0,0,1,0,0,0,1,1,0,0,0,0
1,0.29,0.0204214399647726,1,0,0,1,0,0,1,0,0,1,0,0
0,0.3,0.0142730494377443,0,0,0,1,0,0,1,1,0,0,0,0
0,0.28,0.0003093713963599,0,0,0,1,0,0,1,0,1,0,0,0
1,0.39,0.0061044734518352,0,0,0,1,0,0,1,0,0,0,0,1
1,0.02,0.0204214399647726,1,0,0,1,0,0,1,0,1,0,0,0
0,0.3,2.0494635090094416e-05,1,0,1,0,0,0,1,1,0,0,0,0
0,0.25,0.0014102260811993,0,0,0,1,1,0,0,1,0,0,0,0
0,0.14,0.0774648409655354,0,0,0,1,0,0,1,0,0,0,0,1
1,0.35,0.0001014972404461,0,1,0,0,0,0,1,0,1,0,0,0
0,0.17,0.2164297877224253,1,1,0,0,1,0,0,0,0,1,0,0
0,0.3,0.0015078195816283,0,0,0,1,0,1,0,1,0,0,0,0
1,0.18,0.0001317512255791,0,0,0,1,0,1,0,1,0,0,0,0
1,0.23,0.0001473661856478,0,0,0,1,0,0,1,1,0,0,0,0
0,0.5,0.0001571255356907,0,0,0,1,0,0,1,1,0,0,0,0
1,0.21,0.0512121893501287,1,1,0,0,1,0,0,0,0,0,0,1
1,0.58,0.28598955515321,1,1,0,0,1,0,0,1,0,0,0,0
1,0.03,0.081157193460767,0,0,1,0,1,0,0,0,0,0,1,0
1,0.13,3.80614651673182e-05,0,0,1,0,0,0,1,0,1,0,0,0
0,0.57,0.0002410559460596,0,0,1,0,0,1,0,1,0,0,0,0
0,0.16,5.074862022309093e-05,0,0,1,0,0,0,1,1,0,0,0,0
1,0.21,0.0001512699256649,0,0,0,1,0,1,0,1,0,0,0,0
0,0.6,7.61229303346364e-05,1,0,1,0,0,0,1,0,0,1,0,0
0,0.22,0.2647385704347907,1,1,0,0,1,0,0,1,0,0,0,0
0,0.3,2.5374310111545467e-05,0,0,1,0,0,0,1,1,0,0,0,0
0,0.17,0.0169080739493278,0,0,0,1,0,0,1,1,0,0,0,0
0,0.25,0.0154115752137492,0,0,0,1,0,0,1,1,0,0,0,0
0,0.27,0.0169080739493278,0,0,0,1,0,0,1,1,0,0,0,0
0,0.36,0.0,0,0,0,1,0,0,1,1,0,0,0,0
1,0.35,0.0001571255356907,0,0,0,1,0,0,1,1,0,0,0,0
1,0.35,0.0141104586660295,0,0,0,1,1,0,0,1,0,0,0,0
0,0.29,0.0185101688523707,0,0,0,1,0,0,1,1,0,0,0,0
1,0.3,0.0207727765663171,1,1,0,0,1,0,0,1,0,0,0,0
0,0.3,0.0001571255356907,0,0,0,1,0,0,1,1,0,0,0,0
0,0.51,0.1198042196306593,0,1,0,0,1,0,0,0,1,0,0,0
1,0.16,0.0150943963373549,0,0,0,1,0,1,0,1,0,0,0,0
1,0.21,0.0001512699256649,0,0,0,1,0,1,0,1,0,0,0,0
1,0.01,0.0307257521140704,0,0,0,1,1,0,0,0,0,1,0,0
0,0.22,0.0152163882128912,0,0,0,1,0,0,1,1,0,0,0,0
1,0.21,0.0436404952128436,1,0,0,1,1,0,0,0,0,1,0,0
0,0.07,0.0056848213999904,0,0,0,1,0,1,0,0,0,0,0,1
0,0.3,5.953203526170283e-05,1,1,0,0,0,0,1,1,0,0,0,0
0,0.3,0.0001512699256649,0,0,0,1,0,1,0,0,1,0,0,0
1,0.33,0.0001036442974556,1,1,0,0,0,0,1,0,1,0,0,0
0,0.07,0.0774648409655354,0,0,0,1,0,0,1,0,0,0,0,1
0,0.32,0.0001512699256649,0,0,0,1,0,1,0,1,0,0,0,0
0,0.5,2.5374310111545467e-05,0,0,1,0,0,0,1,1,0,0,0,0
0,0.59,2.635024511583568e-05,0,0,1,0,0,0,1,1,0,0,0,0
0,0.28,0.16038672010106,0,1,0,0,1,0,0,0,1,0,0,0
0,0.3,0.0001571255356907,0,0,0,1,0,0,1,1,0,0,0,0
0,0.6,0.0005182214872781,0,1,0,0,0,0,1,1,0,0,0,0
1,0.17,0.0282207221450582,0,0,0,1,1,0,0,1,0,0,0,0
0,0.325,0.0586942926540201,0,0,1,0,1,0,0,0,1,0,0,0
1,0.21,0.152164467689915,1,1,0,0,0,0,1,1,0,0,0,0
0,0.03,0.0612643198943179,0,0,0,1,0,0,1,0,0,0,0,1
0,0.19,2.0494635090094416e-05,0,0,1,0,0,0,1,1,0,0,0,0
1,0.24,0.0003659756266088,0,0,1,0,0,0,1,0,0,0,0,1
1,0.18,0.0015546644618343,1,1,0,0,0,0,1,0,0,1,0,0
1,0.49,0.0506104278264834,1,1,0,0,0,0,1,1,0,0,0,0
1,0.41,0.0394521725484317,0,0,0,1,0,0,1,0,0,1,0,0
0,0.3,1.8542765081513994e-05,0,0,0,1,0,0,1,1,0,0,0,0
0,0.59,0.000141510575622,0,0,0,1,0,0,1,1,0,0,0,0
1,0.04,0.0261876543441209,0,0,0,1,1,0,0,0,1,0,0,0
1,0.35,0.0297578197768153,0,0,0,1,1,0,0,0,0,1,0,0
0,0.51,0.0001512699256649,0,0,0,1,0,0,1,1,0,0,0,0
1,0.45,0.0005123658772523,0,0,1,0,0,0,1,0,0,1,0,0
0,0.18,0.0394521725484317,0,0,0,1,0,0,1,0,0,1,0,0
1,0.21,0.0013575255909676,0,0,0,1,0,0,1,0,0,0,0,1
1,0.21,3.025398513299652e-05,0,0,0,1,0,1,0,0,1,0,0,0
0,0.28,6.441171028315388e-05,1,0,1,0,0,0,1,0,1,0,0,0
0,0.555,0.0001571255356907,0,0,0,1,0,0,1,1,0,0,0,0
0,0.24,0.4831284260198326,1,1,0,0,1,0,0,0,1,0,0,0
0,0.3,0.0,0,1,0,0,0,0,1,1,0,0,0,0
1,0.35,3.142510713814477e-05,0,0,0,1,0,0,1,0,1,0,0,0
0,0.3,0.0004577135170121,0,0,0,1,0,0,1,0,0,0,1,0
0,0.035,0.0013575255909676,0,0,0,1,0,0,1,0,0,0,0,1
1,0.29,5.074862022309093e-05,0,0,1,0,0,0,1,0,1,0,0,0
1,0.58,0.2995388511917728,1,1,0,0,0,0,1,0,1,0,0,0
1,0.26,0.0015468569817999,0,0,0,1,0,0,1,1,0,0,0,0
1,0.44,0.1131678616014859,1,1,0,0,1,0,0,0,1,0,0,0
0,0.3,0.0014102260811993,0,0,0,1,1,0,0,1,0,0,0,0
0,0.32,0.0163225129467537,0,0,0,1,0,0,1,1,0,0,0,0
0,0.26,2.0494635090094416e-05,0,0,1,0,0,0,1,1,0,0,0,0
0,0.16,0.0001571255356907,0,0,0,1,0,0,1,1,0,0,0,0
0,0.19,0.0015175789316712,0,0,0,1,0,0,1,1,0,0,0,0
0,0.3,0.0154115752137492,0,0,0,1,0,0,1,1,0,0,0,0
0,0.48,0.0153303774213923,0,0,0,1,0,0,1,1,0,0,0,0
0,0.3,0.0001512699256649,1,0,0,1,0,1,0,1,0,0,0,0
0,0.09,9.154270340242172e-05,0,0,0,1,0,0,1,0,0,0,0,1
1,0.35,0.016293234896625,1,1,0,0,0,0,1,0,1,0,0,0
0,0.12,0.0219423370754585,0,0,0,1,1,0,0,0,1,0,0,0
1,0.31,0.0153303774213923,0,0,0,1,0,0,1,1,0,0,0,0
1,0.27,0.02704960013991,0,0,1,0,1,0,0,0,1,0,0,0
1,0.43,0.4125033279383646,1,1,0,0,0,0,1,0,1,0,0,0
1,0.305,0.0001512699256649,0,0,0,1,0,1,0,1,0,0,0,0
0,0.34,0.0001571255356907,0,0,0,1,0,0,1,1,0,0,0,0
0,0.3,0.0,0,0,1,0,0,0,1,1,0,0,0,0
0,0.23,2.5374310111545467e-05,0,0,1,0,0,0,1,1,0,0,0,0
1,0.24,3.259622914329302e-05,1,0,0,1,0,0,1,0,0,1,0,0
0,0.39,5.074862022309093e-05,0,0,1,0,0,0,1,1,0,0,0,0
1,0.24,2.5374310111545467e-05,1,0,1,0,0,0,1,1,0,0,0,0
0,0.3,0.0152815806711778,0,0,0,1,0,1,0,1,0,0,0,0
1,0.0075,0.0375896981862443,0,0,0,1,1,0,0,0,0,0,1,0
0,0.34,2.5374310111545467e-05,0,0,1,0,0,0,1,1,0,0,0,0
0,0.23,0.0018006000829154,0,0,0,1,0,0,1,1,0,0,0,0
1,0.42,5.074862022309093e-05,0,0,1,0,0,0,1,0,1,0,0,0
0,0.3,0.0165095020935757,0,0,0,1,0,1,0,1,0,0,0,0
0,0.22,0.0001571255356907,0,0,0,1,0,0,1,1,0,0,0,0
0,0.0083,5.66042302488322e-05,0,0,1,0,0,0,1,0,0,1,0,0
1,0.21,0.0001473661856478,0,0,0,1,0,0,1,1,0,0,0,0
0,0.52,2.635024511583568e-05,0,0,1,0,0,0,1,1,0,0,0,0
0,0.17,0.013768881414528,0,0,0,1,0,0,1,0,1,0,0,0
0,0.49,0.1739198156185515,1,1,0,0,1,0,0,0,1,0,0,0
0,0.44,0.0015468569817999,0,0,0,1,0,0,1,1,0,0,0,0
0,0.06,0.002434957835704,1,0,0,1,0,0,1,0,1,0,0,0
0,0.64,5.074862022309093e-05,0,1,0,0,0,0,1,1,0,0,0,0
1,0.18,0.0015175789316712,0,0,0,1,0,0,1,1,0,0,0,0
0,0.19,2.8302115124416095e-05,0,0,0,1,0,0,1,1,0,0,0,0
0,0.26,0.0040159725426542,0,0,0,1,0,0,1,0,0,0,1,0
0,0.43,0.0005123658772523,0,0,1,0,0,0,1,0,0,1,0,0
0,0.3,0.0004713766070721,0,0,0,1,0,1,0,1,0,0,0,0
1,0.23,0.0015468569817999,0,0,0,1,0,0,1,1,0,0,0,0
0,0.16,0.0774648409655354,0,0,0,1,0,0,1,0,0,0,0,1
1,0.36,0.0001385827706092,1,1,0,0,0,0,1,0,0,1,0,0
1,0.22,0.0001073528504719,1,1,0,0,0,0,1,0,1,0,0,0
0,0.19,0.0154115752137492,0,0,0,1,0,0,1,1,0,0,0,0
1,0.21,0.0153791741716068,0,0,0,1,0,1,0,1,0,0,0,0
0,0.47,1.7566830077223785e-05,0,0,0,1,0,0,1,1,0,0,0,0
1,0.4,0.0003074195263514,0,0,1,0,0,0,1,1,0,0,0,0
1,0.2,0.0019177122834302,0,0,0,1,0,0,1,0,1,0,0,0
1,0.36,5.074862022309093e-05,0,0,1,0,0,0,1,0,1,0,0,0
0,0.18,0.0153303774213923,0,0,0,1,0,0,1,0,0,1,0,0
0,0.18,2.2446505098674835e-05,0,0,1,0,0,0,1,1,0,0,0,0
0,0.32,0.1102724576307577,0,0,0,1,0,0,1,1,0,0,0,0
0,0.33,0.0154115752137492,0,0,0,1,1,0,0,1,0,0,0,0
0,0.35,0.0005182214872781,0,1,0,0,1,0,0,1,0,0,0,0
0,0.64,0.0005133418122566,1,1,0,0,0,0,1,0,0,0,0,1
0,0.52,0.0015546644618343,1,1,0,0,0,0,1,0,0,1,0,0
1,0.24,0.0375896981862443,0,0,0,1,1,0,0,0,0,0,1,0
0,0.61,0.0121747891785203,0,0,0,1,0,0,1,1,0,0,0,0
0,0.24,2.0494635090094416e-05,0,0,1,0,0,0,1,1,0,0,0,0
0,0.43,0.0001571255356907,0,0,0,1,0,0,1,1,0,0,0,0
1,0.34,2.0494635090094416e-05,1,0,1,0,0,0,1,1,0,0,0,0
1,0.63,0.0187135537072647,0,0,0,1,0,0,1,1,0,0,0,0
1,0.24,0.0001352645915946,1,1,0,0,1,0,0,1,0,0,0,0
1,0.38,0.1391357353826407,1,1,0,0,1,0,0,0,1,0,0,0
0,0.21,0.000141510575622,0,0,0,1,0,0,1,1,0,0,0,0
1,0.45,0.3217983671436256,1,1,0,0,0,0,1,0,0,1,0,0
0,0.16,0.0067095531544951,0,0,0,1,0,0,1,0,0,0,0,1
0,0.2,0.0015468569817999,0,0,0,1,0,0,1,0,1,0,0,0
0,0.3,0.0002937564362913,0,0,1,0,1,0,0,1,0,0,0,0
1,0.41,0.0774648409655354,0,0,0,1,0,0,1,0,0,0,0,1
0,0.3,2.5374310111545467e-05,0,0,1,0,0,0,1,1,0,0,0,0
0,0.29,0.0001571255356907,0,0,0,1,0,0,1,1,0,0,0,0
1,0.03,0.0041135660430832,0,0,0,1,0,0,1,0,0,0,0,1
0,0.03,5.074862022309093e-05,1,0,1,0,0,0,1,0,0,1,0,0
0,0.54,5.074862022309093e-05,1,0,1,0,0,0,1,0,1,0,0,0
0,0.28,0.0015468569817999,0,0,0,1,0,0,1,0,0,1,0,0
0,0.36,0.0146308272103171,0,0,0,1,0,0,1,1,0,0,0,0
0,0.48,0.0005182214872781,1,1,0,0,0,0,1,1,0,0,0,0
1,0.31,0.0169486728455063,0,0,0,1,0,0,1,1,0,0,0,0
0,0.26,0.0154115752137492,0,0,0,1,0,0,1,1,0,0,0,0
0,0.035,0.049707687947515,0,0,0,1,0,0,1,0,0,0,0,1
0,0.0042,0.0166234913020768,0,0,0,1,1,0,0,0,1,0,0,0
1,0.25,0.0015175789316712,0,0,0,1,0,0,1,1,0,0,0,0
0,0.3,0.0001014972404461,1,1,0,0,0,0,1,1,0,0,0,0
0,0.38,0.0169080739493278,0,0,0,1,0,0,1,1,0,0,0,0
0,0.3,0.0001571255356907,0,0,0,1,0,0,1,1,0,0,0,0
0,0.035,0.0297578197768153,0,0,0,1,1,0,0,0,0,1,0,0
0,0.15,0.0141104586660295,0,0,0,1,1,0,0,0,0,1,0,0
0,0.35,5.074862022309093e-05,0,0,1,0,0,0,1,1,0,0,0,0
