Sex,Age,Fare,HasCabin,Pclass_1,Pclass_2,Pclass_3,Embarked_C,Embarked_Q,Embarked_S,FamilySize_1,FamilySize_2,FamilySize_3,FamilySize_4,FamilySize_5plus
0,0.3,0.0015175789316712,0,0,0,1,0,0,1,1,0,0,0,0
0,0.24,0.0001545881046795,1,1,0,0,1,0,0,1,0,0,0,0
0,0.36,0.0078318784094289,1,1,0,0,1,0,0,1,0,0,0,0
1,0.22,0.0015175789316712,0,0,0,1,0,0,1,1,0,0,0,0
0,0.5,0.0026086742664677,0,1,0,0,0,0,1,0,0,1,0,0
0,0.3,0.0001512699256649,0,0,0,1,0,1,0,1,0,0,0,0
0,0.455,0.0014102260811993,0,0,0,1,1,0,0,1,0,0,0,0
0,0.33,0.0015175789316712,0,0,0,1,0,0,1,1,0,0,0,0
0,0.19,0.0154115752137492,0,0,0,1,0,0,1,1,0,0,0,0
0,0.18,2.5374310111545467e-05,0,0,1,0,0,0,1,1,0,0,0,0
1,0.16,0.0001512699256649,0,0,0,1,0,1,0,1,0,0,0,0
0,0.3,5.8556100257412615e-05,1,1,0,0,0,0,1,1,0,0,0,0
0,0.3,5.797053925483849e-05,1,1,0,0,1,0,0,1,0,0,0,0
0,0.48,0.1497654242623688,1,1,0,0,1,0,0,0,1,0,0,0
0,0.22,0.0154115752137492,0,0,0,1,0,0,1,1,0,0,0,0
0,0.29,5.8556100257412615e-05,1,1,0,0,0,0,1,1,0,0,0,0
0,0.3,0.0050602229972447,0,1,0,0,0,0,1,1,0,0,0,0
0,0.38,0.2995388511917728,1,1,0,0,0,0,1,0,1,0,0,0
0,0.44,0.0001571255356907,0,0,0,1,0,0,1,1,0,0,0,0
0,0.03,0.0003659756266088,0,0,1,0,0,0,1,0,0,1,0,0
1,0.18,0.044409922370226,1,1,0,0,1,0,0,0,1,0,0,0
0,0.18,0.0002125586439344,1,1,0,0,1,0,0,0,1,0,0,0
0,0.3,0.0004713766070721,0,0,0,1,0,1,0,0,1,0,0,0
0,0.02,0.0041135660430832,0,0,0,1,0,0,1,0,0,0,0,1
0,0.35,1.0,1,1,0,0,1,0,0,1,0,0,0,0
0,0.74,0.0015175789316712,0,0,0,1,0,0,1,1,0,0,0,0
0,0.31,2.5374310111545467e-05,0,0,1,0,0,0,1,1,0,0,0,0
0,0.285,3.142510713814477e-05,0,0,0,1,0,0,1,1,0,0,0,0
0,0.56,0.0599142114093828,1,1,0,0,1,0,0,1,0,0,0,0
0,0.26,0.0153303774213923,0,0,0,1,0,0,1,0,1,0,0,0
0,0.32,0.0153303774213923,0,0,0,1,0,0,1,1,0,0,0,0
0,0.3,0.0141104586660295,0,0,0,1,1,0,0,1,0,0,0,0
0,0.4,6.050797026599304e-05,1,1,0,0,1,0,0,1,0,0,0,0
0,0.27,0.1497654242623688,1,1,0,0,1,0,0,1,0,0,0,0
0,0.3,3.025398513299652e-05,0,0,0,1,0,1,0,1,0,0,0,0
0,0.38,0.0154115752137492,0,0,0,1,0,0,1,1,0,0,0,0
0,0.01,0.0774648409655354,0,0,0,1,0,0,1,0,0,0,0,1
0,0.3,0.0,0,0,1,0,0,0,1,1,0,0,0,0
0,0.3,0.0150863936703197,0,0,0,1,0,1,0,1,0,0,0,0
0,0.0067,2.8302115124416095e-05,0,0,1,0,0,0,1,0,0,1,0,0
0,0.3,3.025398513299652e-05,0,0,0,1,0,1,0,0,1,0,0,0
1,0.02,0.0239836027304319,0,0,0,1,0,0,1,0,1,0,0,0
1,0.18,0.0192097190634459,0,0,0,1,0,0,1,1,0,0,0,0
1,0.51,0.152164467689915,1,1,0,0,0,0,1,0,1,0,0,0
0,0.29,0.0541073981338561,0,0,1,0,1,0,0,0,1,0,0,0
0,0.49,0.0,0,0,0,1,0,0,1,1,0,0,0,0
0,0.24,1.8542765081513994e-05,0,0,0,1,0,0,1,1,0,0,0,0
1,0.31,0.0040062131926113,0,0,0,1,0,0,1,0,0,1,0,0
1,0.45,0.0001512699256649,0,0,0,1,0,0,1,1,0,0,0,0
0,0.32,0.0015468569817999,0,0,0,1,0,0,1,1,0,0,0,0
1,0.18,0.0282127194780231,0,0,0,1,1,0,0,0,1,0,0,0
1,0.44,5.074862022309093e-05,1,0,1,0,0,0,1,0,1,0,0,0
1,0.47,0.1025789668049371,1,1,0,0,0,0,1,0,0,1,0,0
0,0.365,5.074862022309093e-05,1,0,1,0,0,0,1,0,0,1,0,0
0,0.3,2.5374310111545467e-05,0,0,1,0,0,0,1,1,0,0,0,0
1,0.27,2.0494635090094416e-05,1,0,1,0,0,0,1,1,0,0,0,0
0,0.29,1.8542765081513994e-05,0,0,0,1,0,0,1,1,0,0,0,0
0,0.71,0.0966257632787668,0,1,0,0,1,0,0,1,0,0,0,0
1,0.52,0.0001824998458022,1,1,0,0,0,0,1,0,0,1,0,0
1,0.43,9.154270340242172e-05,0,0,0,1,0,0,1,0,0,0,0,1
0,0.22,0.0154115752137492,0,0,0,1,0,0,1,1,0,0,0,0
1,0.21,0.0004538097769949,0,0,0,1,0,1,0,0,0,1,0,0
1,0.35,0.0001073528504719,1,1,0,0,0,0,1,0,1,0,0,0
0,0.26,0.0154115752137492,0,0,0,1,0,0,1,1,0,0,0,0
1,0.25,0.0015468569817999,0,0,0,1,0,0,1,0,1,0,0,0
0,0.3,0.0,1,1,0,0,0,0,1,1,0,0,0,0
1,0.31,0.3217983671436256,1,1,0,0,0,0,1,0,0,1,0,0
0,0.45,0.0001571255356907,0,0,0,1,0,0,1,1,0,0,0,0
0,0.22,0.000141510575622,0,0,0,1,0,0,1,1,0,0,0,0
1,0.49,0.1497654242623688,1,1,0,0,1,0,0,0,1,0,0,0
1,0.22,0.081157193460767,0,0,1,0,1,0,0,0,0,0,1,0
1,0.04,0.0042989936938983,0,0,0,1,0,0,1,0,0,1,0,0
1,0.29,0.0297578197768153,0,0,0,1,1,0,0,0,0,1,0,0
0,0.34,2.5374310111545467e-05,0,0,1,0,0,0,1,1,0,0,0,0
1,0.48,0.0506104278264834,1,1,0,0,0,0,1,1,0,0,0,0
1,0.27,4.098927018018883e-05,0,0,1,0,0,0,1,0,1,0,0,0
1,0.54,0.0001159410785096,0,1,0,0,1,0,0,0,1,0,0,0
0,0.3,0.027057797993946,0,0,1,0,1,0,0,1,0,0,0,0
1,0.19,5.074862022309093e-05,0,0,1,0,0,0,1,0,1,0,0,0
1,0.22,0.0001299945425714,1,1,0,0,0,0,1,0,1,0,0,0
0,0.455,5.562829524454199e-05,1,1,0,0,0,0,1,1,0,0,0,0
0,0.3,0.0541073981338561,0,1,0,0,1,0,0,1,0,0,0,0
0,0.23,0.0153303774213923,0,0,0,1,0,0,1,1,0,0,0,0
0,0.3,0.0001571255356907,0,0,0,1,0,0,1,1,0,0,0,0
0,0.3,0.0141104586660295,0,0,0,1,1,0,0,1,0,0,0,0
0,0.34,4.098927018018883e-05,0,0,1,0,0,0,1,0,1,0,0,0
0,0.31,0.0015468569817999,0,0,0,1,0,0,1,1,0,0,0,0
0,0.3,0.0013575255909676,0,0,0,1,0,0,1,0,0,0,0,1
0,0.4,5.445717323939373e-05,0,0,0,1,0,0,1,0,0,0,0,1
1,0.21,0.0001512699256649,0,0,0,1,0,1,0,1,0,0,0,0
0,0.32,2.0494635090094416e-05,0,0,1,0,0,0,1,1,0,0,0,0
0,0.2,0.0018006000829154,0,0,0,1,0,0,1,1,0,0,0,0
0,0.27,0.0004128205068147,1,1,0,0,1,0,0,0,0,1,0,0
1,0.325,2.5374310111545467e-05,1,0,1,0,0,0,1,1,0,0,0,0
1,0.44,0.0541073981338561,1,1,0,0,1,0,0,1,0,0,0,0
0,0.23,0.0293674457750992,0,0,1,0,1,0,0,1,0,0,0,0
0,0.34,2.810692812355805e-05,0,0,0,1,0,0,1,0,0,1,0,0
0,0.32,5.074862022309093e-05,0,0,1,0,0,0,1,0,1,0,0,0
0,0.04,0.1597767607233786,1,1,0,0,0,0,1,0,0,1,0,0
1,0.02,0.0061044734518352,0,0,0,1,0,0,1,0,0,0,0,1
0,0.3,0.0,0,0,1,0,0,0,1,1,0,0,0,0
0,0.25,2.5374310111545467e-05,0,0,1,0,0,0,1,1,0,0,0,0
0,0.24,0.0001571255356907,0,0,0,1,0,0,1,1,0,0,0,0
0,0.21,0.0169080739493278,0,0,0,1,0,0,1,1,0,0,0,0
0,0.31,2.0494635090094416e-05,0,0,1,0,0,0,1,1,0,0,0,0
0,0.54,2.732618012012589e-05,0,0,1,0,0,0,1,1,0,0,0,0
1,0.33,0.0003093713963599,0,0,0,1,0,0,1,0,0,0,1,0
0,0.23,2.5374310111545467e-05,0,0,1,0,0,0,1,1,0,0,0,0
0,0.19,0.0007173122281533,0,0,1,0,0,0,1,0,0,1,0,0
0,0.65,0.0001512699256649,0,0,0,1,0,1,0,1,0,0,0,0
0,0.3,0.0389724029003226,0,0,0,1,0,0,1,0,1,0,0,0
1,0.42,2.5374310111545467e-05,0,0,1,0,0,0,1,1,0,0,0,0
0,0.18,2.2446505098674835e-05,0,0,1,0,0,0,1,1,0,0,0,0
0,0.27,2.5374310111545467e-05,0,0,1,0,0,0,1,1,0,0,0,0
0,0.54,0.1508551532881592,1,1,0,0,0,0,1,0,1,0,0,0
0,0.3,0.0141104586660295,0,0,0,1,1,0,0,1,0,0,0,0
0,0.47,0.0001014972404461,1,1,0,0,0,0,1,1,0,0,0,0
0,0.11,9.154270340242172e-05,0,0,0,1,0,0,1,0,0,0,0,1
0,0.21,0.0001434624456306,0,0,1,0,0,0,1,0,0,1,0,0
0,0.29,2.0494635090094416e-05,0,0,1,0,0,0,1,1,0,0,0,0
0,0.39,0.0004713766070721,0,0,0,1,0,0,1,1,0,0,0,0
1,0.39,0.0056848213999904,0,0,0,1,0,1,0,0,0,0,0,1
0,0.36,0.0003035157863342,0,0,0,1,0,0,1,0,1,0,0,0
1,0.17,0.0002125586439344,1,1,0,0,1,0,0,0,1,0,0,0
0,0.3,0.0169080739493278,0,0,0,1,0,0,1,1,0,0,0,0
1,0.11,0.0061044734518352,0,0,0,1,0,0,1,0,0,0,0,1
1,0.47,2.8302115124416095e-05,0,0,0,1,0,0,1,0,1,0,0,0
0,0.3,5.074862022309093e-05,1,1,0,0,0,0,1,1,0,0,0,0
1,0.38,0.0612643198943179,0,0,0,1,0,0,1,0,0,0,0,1
1,0.21,0.0002410559460596,1,0,1,0,0,1,0,1,0,0,0,0
1,0.19,5.8556100257412615e-05,1,1,0,0,0,0,1,1,0,0,0,0
1,0.48,7.729405233978466e-05,1,1,0,0,1,0,0,0,1,0,0,0
0,0.3,0.015102594191391,0,0,0,1,0,1,0,1,0,0,0,0
1,0.35,0.28598955515321,1,1,0,0,1,0,0,0,1,0,0,0
0,0.4,0.0,1,1,0,0,0,0,1,1,0,0,0,0
0,0.31,0.0015175789316712,0,0,0,1,0,0,1,1,0,0,0,0
1,0.08,0.0041135660430832,0,0,0,1,0,0,1,0,0,0,0,1
0,0.26,0.0366707577862046,0,0,0,1,1,0,0,1,0,0,0,0
0,0.24,0.0001434624456306,0,0,1,0,0,0,1,0,0,1,0,0
0,0.22,0.0141104586660295,0,0,0,1,1,0,0,1,0,0,0,0
1,0.04,4.489301019734967e-05,0,0,1,0,0,0,1,0,0,1,0,0
0,0.45,0.0005182214872781,0,1,0,0,0,0,1,1,0,0,0,0
1,0.42,0.044409922370226,1,1,0,0,1,0,0,1,0,0,0,0
0,0.32,5.953203526170283e-05,1,1,0,0,1,0,0,1,0,0,0,0
0,0.51,0.0001571255356907,0,0,0,1,0,0,1,1,0,0,0,0
1,0.145,0.0282127194780231,0,0,0,1,1,0,0,0,1,0,0,0
0,0.3,0.0001376068356049,0,0,0,1,0,0,1,1,0,0,0,0
0,0.27,0.0282127194780231,0,0,0,1,1,0,0,0,1,0,0,0
0,0.3,0.0005182214872781,1,1,0,0,0,0,1,1,0,0,0,0
0,0.08,0.0056848213999904,0,0,0,1,0,1,0,0,0,0,0,1
0,0.42,5.270049023167136e-05,0,0,1,0,0,0,1,0,1,0,0,0
1,0.4,0.000262526516154,1,1,0,0,1,0,0,0,0,1,0,0
1,0.05,0.0612643198943179,0,0,0,1,0,0,1,0,0,0,0,1
0,0.3,0.0154115752137492,0,0,0,1,0,0,1,1,0,0,0,0
1,0.21,0.0001512699256649,0,0,0,1,0,1,0,1,0,0,0,0
0,0.04,0.0056848213999904,0,0,0,1,0,1,0,0,0,0,0,1
0,0.0083,0.0003659756266088,0,0,1,0,0,0,1,0,0,1,0,0
1,0.28,5.074862022309093e-05,0,0,1,0,0,0,1,0,1,0,0,0
0,0.2,0.0078318784094289,0,0,0,1,1,0,0,1,0,0,0,0
0,0.3,0.0014102260811993,0,0,0,1,1,0,0,1,0,0,0,0
0,0.3,0.0599142114093828,1,1,0,0,1,0,0,1,0,0,0,0
0,0.17,0.0169080739493278,0,0,0,1,0,0,1,1,0,0,0,0
0,0.3,0.0170056674497569,0,0,0,1,1,0,0,1,0,0,0,0
0,0.29,0.0015175789316712,0,0,0,1,0,0,1,1,0,0,0,0
0,0.35,0.0013907073811135,0,0,0,1,0,0,1,1,0,0,0,0
1,0.06,0.0061044734518352,0,0,0,1,0,0,1,0,0,0,0,1
1,0.19,0.0153791741716068,0,0,0,1,0,1,0,1,0,0,0,0
0,0.21,0.0153303774213923,0,0,0,1,0,0,1,1,0,0,0,0
0,0.2,0.0192177217304811,0,0,0,1,0,0,1,1,0,0,0,0
1,0.07,0.0005123658772523,0,0,1,0,0,0,1,0,0,1,0,0
0,0.39,0.0015468569817999,0,0,0,1,0,0,1,1,0,0,0,0
0,0.26,0.0282127194780231,0,0,0,1,1,0,0,0,1,0,0,0
1,0.45,0.0282127194780231,0,0,0,1,1,0,0,0,1,0,0,0
0,0.33,0.0040062131926113,0,0,0,1,0,0,1,0,0,1,0,0
0,0.02,5.074862022309093e-05,1,0,1,0,0,0,1,0,0,1,0,0
1,0.35,0.1739198156185515,1,1,0,0,1,0,0,0,1,0,0,0
1,0.26,3.142510713814477e-05,0,0,0,1,0,0,1,0,1,0,0,0
0,0.32,0.1102724576307577,0,0,0,1,0,0,1,1,0,0,0,0
1,0.35,0.2647385704347907,1,1,0,0,0,0,1,1,0,0,0,0
1,0.28,2.810692812355805e-05,0,0,0,1,0,0,1,0,0,1,0,0
0,0.39,0.0061044734518352,0,0,0,1,0,0,1,0,0,0,0,1
0,0.28,1.8542765081513994e-05,0,0,0,1,0,0,1,1,0,0,0,0
0,0.37,5.797053925483849e-05,1,1,0,0,1,0,0,0,1,0,0,0
0,0.3,0.000141510575622,0,0,0,1,0,0,1,1,0,0,0,0
0,0.04,0.0061044734518352,0,0,0,1,0,0,1,0,0,0,0,1
0,0.23,0.1236671655646408,1,1,0,0,1,0,0,0,1,0,0,0
0,0.38,0.0001376068356049,0,0,0,1,0,0,1,1,0,0,0,0
0,0.25,0.0001376068356049,0,0,0,1,0,0,1,1,0,0,0,0
1,0.29,2.0494635090094416e-05,1,0,1,0,0,0,1,1,0,0,0,0
0,0.54,0.101228858320002,1,1,0,0,0,0,1,1,0,0,0,0
1,0.24,2.8302115124416095e-05,0,0,1,0,0,0,1,0,0,1,0,0
0,0.28,0.0154115752137492,0,0,0,1,0,0,1,1,0,0,0,0
1,0.35,0.0436404952128436,1,0,0,1,1,0,0,0,0,1,0,0
1,0.14,0.0153303774213923,0,0,0,1,0,0,1,1,0,0,0,0
1,0.41,3.80614651673182e-05,0,0,1,0,0,0,1,0,1,0,0,0
0,0.3,2.8302115124416095e-05,0,0,0,1,0,0,1,1,0,0,0,0
1,0.5,2.0494635090094416e-05,0,0,1,0,0,0,1,1,0,0,0,0
0,0.3,0.0141104586660295,0,0,0,1,1,0,0,1,0,0,0,0
0,0.21,0.0015175789316712,0,0,0,1,0,0,1,1,0,0,0,0
1,0.22,9.66175654247308e-05,1,1,0,0,1,0,0,0,0,1,0,0
0,0.24,0.0146308272103171,0,0,0,1,0,0,1,1,0,0,0,0
1,0.21,2.0494635090094416e-05,0,0,1,0,0,0,1,1,0,0,0,0
0,0.51,0.013768881414528,0,0,0,1,0,0,1,1,0,0,0,0
1,0.24,5.270049023167136e-05,0,0,1,0,0,0,1,0,0,0,1,0
0,0.19,2.5374310111545467e-05,0,0,1,0,0,0,1,1,0,0,0,0
0,0.22,0.0001571255356907,0,0,0,1,0,0,1,1,0,0,0,0
0,0.61,6.538764528744409e-05,1,1,0,0,0,0,1,1,0,0,0,0
0,0.3,0.0001571255356907,0,0,0,1,0,0,1,1,0,0,0,0
0,0.19,0.0198520794832697,0,0,0,1,0,0,1,1,0,0,0,0
0,0.3,0.0001571255356907,0,0,0,1,0,0,1,1,0,0,0,0
1,0.22,0.0001512699256649,0,0,0,1,0,1,0,1,0,0,0,0
0,0.28,0.0043965871943273,0,0,0,1,0,0,1,1,0,0,0,0
1,0.54,4.489301019734967e-05,0,0,1,0,0,0,1,0,0,0,0,1
0,0.41,0.0013907073811135,0,0,0,1,0,0,1,1,0,0,0,0
0,0.285,0.0141104586660295,0,0,0,1,1,0,0,1,0,0,0,0
0,0.3,0.0154115752137492,0,0,0,1,1,0,0,1,0,0,0,0
0,0.21,2.2446505098674835e-05,0,0,1,0,0,0,1,0,1,0,0,0
1,0.4,7.61229303346364e-05,1,0,1,0,0,0,1,0,0,1,0,0
0,0.36,2.0494635090094416e-05,0,0,1,0,0,0,1,1,0,0,0,0
1,0.29,5.074862022309093e-05,0,0,1,0,0,0,1,0,1,0,0,0
1,0.15,0.0282127194780231,0,0,0,1,1,0,0,0,1,0,0,0
0,0.405,0.0001512699256649,0,0,0,1,0,1,0,1,0,0,0,0
0,0.29,0.0001512699256649,1,0,0,1,0,1,0,1,0,0,0,0
1,0.33,5.074862022309093e-05,0,0,1,0,0,0,1,0,0,1,0,0
0,0.19,0.0001571255356907,0,0,0,1,0,0,1,1,0,0,0,0
0,0.35,2.0494635090094416e-05,0,0,1,0,0,0,1,1,0,0,0,0
1,0.18,0.0512121893501287,1,1,0,0,1,0,0,0,0,0,0,1
1,0.18,3.4743286152731484e-05,0,0,0,1,0,0,1,0,1,0,0,0
0,0.3,8.275928836380984e-05,0,1,0,0,0,0,1,1,0,0,0,0
0,0.3,0.0150943963373549,0,0,0,1,0,1,0,1,0,0,0,0
0,0.3,0.0001571255356907,0,0,0,1,0,0,1,1,0,0,0,0
0,0.21,0.1508551532881592,1,1,0,0,0,0,1,0,1,0,0,0
1,0.21,0.0152815806711778,0,0,0,1,0,1,0,1,0,0,0,0
1,0.39,0.2164297877224253,1,1,0,0,1,0,0,0,0,1,0,0
0,0.2,0.0153303774213923,0,0,0,1,0,0,1,1,0,0,0,0
0,0.58,5.797053925483849e-05,1,1,0,0,1,0,0,1,0,0,0,0
0,0.49,0.1111183980924764,1,1,0,0,1,0,0,0,1,0,0,0
1,0.05,0.0375896981862443,0,0,0,1,1,0,0,0,0,0,1,0
